2021-09-03 13:10:14 INFO  App:32 - Notification Sent
2021-09-03 13:10:14 INFO  App:22 - Running
2021-09-03 13:10:19 INFO  App:32 - Notification Sent
2021-09-03 13:10:19 INFO  App:22 - Running
2021-09-03 13:10:24 INFO  App:32 - Notification Sent
2021-09-03 13:10:24 INFO  App:22 - Running
2021-09-03 13:10:29 INFO  App:32 - Notification Sent
2021-09-03 13:10:29 INFO  App:22 - Running
2021-09-03 13:10:34 INFO  App:32 - Notification Sent
2021-09-03 13:10:34 INFO  App:22 - Running
2021-09-03 13:10:39 INFO  App:32 - Notification Sent
2021-09-03 13:10:39 INFO  App:22 - Running
2021-09-03 13:10:44 INFO  App:32 - Notification Sent
2021-09-03 13:10:44 INFO  App:22 - Running
2021-09-03 13:10:49 INFO  App:32 - Notification Sent
2021-09-03 13:10:49 INFO  App:22 - Running
2021-09-03 13:10:54 INFO  App:32 - Notification Sent
2021-09-03 13:10:54 INFO  App:22 - Running
2021-09-03 13:10:59 INFO  App:32 - Notification Sent
2021-09-03 13:10:59 INFO  App:22 - Running
2021-09-03 13:11:04 INFO  App:32 - Notification Sent
2021-09-03 13:11:04 INFO  App:22 - Running
2021-09-03 13:11:09 INFO  App:32 - Notification Sent
2021-09-03 13:11:09 INFO  App:22 - Running
2021-09-03 13:11:14 INFO  App:32 - Notification Sent
2021-09-03 13:11:14 INFO  App:22 - Running
2021-09-03 13:11:19 INFO  App:32 - Notification Sent
2021-09-03 13:11:19 INFO  App:22 - Running
2021-09-03 13:11:24 INFO  App:32 - Notification Sent
2021-09-03 13:11:24 INFO  App:22 - Running
2021-09-03 13:11:29 INFO  App:32 - Notification Sent
2021-09-03 13:11:29 INFO  App:22 - Running
2021-09-03 13:11:34 INFO  App:32 - Notification Sent
2021-09-03 13:11:34 INFO  App:22 - Running
2021-09-03 13:11:39 INFO  App:32 - Notification Sent
2021-09-03 13:11:39 INFO  App:22 - Running
2021-09-03 13:11:44 INFO  App:32 - Notification Sent
2021-09-03 13:11:44 INFO  App:22 - Running
2021-09-03 13:11:49 INFO  App:32 - Notification Sent
2021-09-03 13:11:49 INFO  App:22 - Running
